date,tweets,news,tic
2016-01-04,0,0,INDUSINDBK.BO
2016-01-04,-0.015578944,0.00789441,INFY.BO
2016-01-04,0.111998037,-0.013861877,ITC.BO
2016-01-04,-0.095769133,0.095269473,KOTAKBANK.BO
2016-01-04,-0.068673586,0.140130869,LT.BO
2016-01-04,0.01801213,-0.016926011,M&M.BO
2016-01-04,0.126797127,0.084976385,MARUTI.BO
2016-01-04,0.179864235,0.189825995,NESTLEIND.BO
2016-01-04,0.124148299,-0.036770176,NTPC.BO
2016-01-04,-0.12235489,0.055735434,ONGC.BO
2016-01-04,0.14515216,-0.030496375,POWERGRID.BO
2016-01-04,0,0.028707415,RELIANCE.BO
2016-01-04,-0.106612073,3.13E-05,SBIN.BO
2016-01-04,0.032287016,0.003046873,SUNPHARMA.BO
2016-01-04,0.064967769,0,TCS.BO
2016-01-04,0,-0.007513271,TECHM.BO
2016-01-04,0,-0.001875652,TITAN.BO
2016-01-04,0,0,ULTRACEMCO.BO
2016-01-05,0.800036157,0.059280489,ASIANPAINT.BO
2016-01-05,-0.004241529,0.11578284,AXISBANK.BO
2016-01-05,0,0.003961605,BAJAJ-AUTO.BO
2016-01-05,0.096922357,-0.029449483,BAJFINANCE.BO
2016-01-05,-0.069511022,-0.043119899,BAJAJFINSV.BO
2016-01-05,0,-0.067298443,BHARTIARTL.BO
2016-01-05,0,0,DRREDDY.BO
2016-01-05,0.193432446,0.009202981,HCLTECH.BO
2016-01-05,0.059584233,-0.03784128,HDFC.BO
2016-01-05,0.081158127,-0.080670667,HDFCBANK.BO
2016-01-05,0.302049195,0,HINDUNILVR.BO
2016-01-05,-0.132627712,-0.077490291,ICICIBANK.BO
2016-01-05,0,-0.002755357,INDUSINDBK.BO
2016-01-05,0.004369251,-0.035472902,INFY.BO
2016-01-05,0.077847691,-0.042016394,ITC.BO
2016-01-05,0,-0.015711381,KOTAKBANK.BO
2016-01-05,0.68059277,0.0708578,LT.BO
